refCode,Pairs,Domain,r_twin_PP,z_twin_PP
04341_UR,UR,scenes val.,0.3630295336646969,0.38037090438893156
04345_UR,UR,scenes val.,0.6175950494352432,0.7211078303461899
04348_UR,UR,scenes val.,0.6414228677947689,0.760587478745164
04351_UR,UR,scenes val.,0.7787237039695293,1.0421196184607642
04374_UR,UR,scenes val.,0.729835013377668,0.9283742405068752
04393_UR,UR,scenes val.,0.8777311511163424,1.3657985964664094
04399_UR,UR,scenes val.,0.8032089594318564,1.1075903269443679
04403_UR,UR,scenes val.,0.7466454263145214,0.9653311717365886
04405_UR,UR,scenes val.,0.8833370269769222,1.3907556455925802
04407_UR,UR,scenes val.,0.7680467756529991,1.015547483760227
04409_UR,UR,scenes val.,0.7269361498790524,0.9221992273503101
04410_UR,UR,scenes val.,0.8711594115167709,1.3378688159398402
04413_UR,UR,scenes val.,0.8451254973158652,1.23884372276082
04417_UR,UR,scenes val.,0.8290014420596411,1.1849351567311728
04425_UR,UR,scenes val.,0.7828869732426472,1.0527855729711328
04436_UR,UR,scenes val.,0.8316242729838271,1.1933802402367908
04438_UR,UR,scenes val.,0.6676220296565969,0.8064405850344907
04441_UR,UR,scenes val.,0.7289024290174352,0.9263816277263258
04443_UR,UR,scenes val.,0.5208897677824639,0.577560057645796
04445_UR,UR,scenes val.,0.7747957094961908,1.032216326994708
04446_UR,UR,scenes val.,0.7036317948228981,0.8744574917521388
04454_UR,UR,scenes val.,0.7774938591801438,1.0390025032523225
04456_UR,UR,scenes val.,0.6208867032364794,0.7264467648508569
04457_UR,UR,scenes val.,0.8220275810961927,1.1630383136056697
04459_UR,UR,scenes val.,0.8576357546626314,1.2843354885973153
04461_UR,UR,scenes val.,0.8102880502183302,1.127867193678721
04462_UR,UR,scenes val.,0.7525566221534333,0.9788245741444495
04467_UR,UR,scenes val.,0.688188163735534,0.8445056116842263
04471_UR,UR,scenes val.,0.6450807646614645,0.7668272507747723
04472_UR,UR,scenes val.,0.6745065018693936,0.8189656443354582
04476_UR,UR,scenes val.,0.6643327519470065,0.8005296182139515
04477_UR,UR,scenes val.,0.8227335110947166,1.1652191975633577
04479_UR,UR,scenes val.,0.7609019496149894,0.9983538538389478
04480_UR,UR,scenes val.,0.881519878917342,1.3825449917569517
04485_UR,UR,scenes val.,0.6669399361948134,0.8052110027610033
04487_UR,UR,scenes val.,0.8272132107894703,1.1792444236945752
04494_UR,UR,scenes val.,0.5775856860310891,0.6588321457480779
04495_UR,UR,scenes val.,0.7722769783148289,1.0259451769793109
