Item_2,Value,FamId,is_repeated
SCENES6,1,108,1
SCENES6,1,108,2
SCENES39,1,108,1
SCENES40,NA,108,2
SCENES28,6,108,1
SCENES24,1,108,1
SCENES35,1,108,1
SCENES35,NA,108,2
SCENES37,6,108,1
SCENES33,6,108,1
SCENES27,6,108,2
SCENES5,6,108,1
SCENES38,1,108,1
SCENES49,2,108,1
SCENES16,NA,108,2
SCENES14,NA,108,2
SCENES30,6,108,2
SCENES34,NA,108,2
SCENES17,4,108,1
SCENES12,6,108,1
SCENES38,NA,108,2
SCENES21,6,108,2
SCENES47,6,108,2
SCENES14,6,108,1
SCENES36,2,108,1
SCENES5,NA,108,2
SCENES23,NA,108,2
SCENES2,2,108,1
SCENES26,1,108,1
SCENES41,NA,108,2
SCENES19,NA,108,2
SCENES20,NA,108,2
SCENES12,6,108,2
SCENES9,6,108,1
SCENES1,6,108,1
SCENES46,NA,108,2
SCENES10,NA,108,2
SCENES3,1,108,2
SCENES15,6,108,2
SCENES47,6,108,1
SCENES48,NA,108,2
SCENES30,6,108,1
SCENES8,NA,108,2
SCENES29,NA,108,2
SCENES50,NA,108,2
SCENES8,6,108,1
SCENES7,2,108,1
SCENES16,6,108,1
SCENES25,NA,108,2
SCENES22,1,108,1
SCENES1,NA,108,2
SCENES34,6,108,1
SCENES49,NA,108,2
SCENES43,2,108,2
SCENES28,NA,108,2
SCENES42,5,108,1
SCENES13,6,108,1
SCENES32,NA,108,2
SCENES43,5,108,1
SCENES11,NA,108,2
SCENES19,2,108,1
SCENES32,2,108,1
SCENES2,NA,108,2
SCENES50,6,108,1
SCENES20,5,108,1
SCENES31,6,108,1
SCENES21,6,108,1
SCENES42,NA,108,2
SCENES33,6,108,2
SCENES4,NA,108,2
SCENES44,NA,108,2
SCENES26,NA,108,2
SCENES13,NA,108,2
SCENES45,NA,108,2
SCENES22,NA,108,2
SCENES9,6,108,2
SCENES44,6,108,1
SCENES31,NA,108,2
SCENES17,NA,108,2
SCENES45,2,108,1
SCENES18,1,108,1
SCENES11,1,108,1
SCENES45,1,109,1
SCENES50,4,109,1
SCENES45,NA,109,2
